bus name,Bus_type,Start_time,End_time,Total_duration,Price,Seats_Available,Ratings,Route_link,Route_name
HRTC - 401271,Ordinary 3+2 Non AC Seater,8:45,11:30,02h 45m,INR 218,37 Seats available,3.9,https://www.redbus.in/bus-tickets/ghumarwin-to-chandigarh,Ghumarwin to Chandigarh
HRTC - 401269,Ordinary 3+2 Non AC Seater,7:40,10:30,02h 50m,INR 218,36 Seats available,"4.4
5",https://www.redbus.in/bus-tickets/ghumarwin-to-chandigarh,Ghumarwin to Chandigarh
HRTC - 1567,Ordinary 3+2 Non AC Seater,9:00,11:50,02h 50m,INR 218,39 Seats available,"4.7
6",https://www.redbus.in/bus-tickets/ghumarwin-to-chandigarh,Ghumarwin to Chandigarh
HRTC - 1107,Ordinary 3+2 Non AC Seater,20:30,23:20,02h 50m,INR 218,36 Seats available,3.9,https://www.redbus.in/bus-tickets/ghumarwin-to-chandigarh,Ghumarwin to Chandigarh
HRTC - 663,Ordinary 3+2 Non AC Seater,6:35,9:30,02h 55m,INR 218,24 Seats available,"3.8
14",https://www.redbus.in/bus-tickets/ghumarwin-to-chandigarh,Ghumarwin to Chandigarh
HRTC - 401270,Ordinary 3+2 Non AC Seater,18:10,21:05,02h 55m,INR 218,33 Seats available,"4.0
6",https://www.redbus.in/bus-tickets/ghumarwin-to-chandigarh,Ghumarwin to Chandigarh
HRTC - 887,Ordinary 3+2 Non AC Seater,8:00,11:00,03h 00m,INR 218,37 Seats available,3.9,https://www.redbus.in/bus-tickets/ghumarwin-to-chandigarh,Ghumarwin to Chandigarh
HRTC - 1467,Ordinary 3+2 Non AC Seater,12:20,15:20,03h 00m,INR 218,31 Seats available,"4.2
19",https://www.redbus.in/bus-tickets/ghumarwin-to-chandigarh,Ghumarwin to Chandigarh
HRTC - 763,Ordinary 3+2 Non AC Seater,19:40,22:40,03h 00m,INR 223,37 Seats available,3.9,https://www.redbus.in/bus-tickets/ghumarwin-to-chandigarh,Ghumarwin to Chandigarh
HRTC - 667,Ordinary 3+2 Non AC Seater,5:45,8:50,03h 05m,INR 218,33 Seats available,"3.0
7",https://www.redbus.in/bus-tickets/ghumarwin-to-chandigarh,Ghumarwin to Chandigarh
HRTC - 700,Himsuta AC Seater Volvo/Scania 2+2,20:00,23:30,03h 30m,INR 459,6 Seats available,3.9,https://www.redbus.in/bus-tickets/ghumarwin-to-chandigarh,Ghumarwin to Chandigarh
Ram Dalal Holidays,Volvo A/C Semi Sleeper (2+2),23:30,3:10,03h 40m,780,28 Seats available,4.5,https://www.redbus.in/bus-tickets/ghumarwin-to-chandigarh,Ghumarwin to Chandigarh
HRTC - 616,A/C Executive (2+3),6:00,9:50,03h 50m,INR 340,31 Seats available,"4.3
87",https://www.redbus.in/bus-tickets/hamirpur-himachal-pradesh-to-chandigarh,Hamirpur (Himachal Pradesh) to Chandigarh
HRTC - 78,Himsuta AC Seater Volvo/Scania 2+2,21:15,1:05,03h 50m,INR 464,32 Seats available,3.9,https://www.redbus.in/bus-tickets/ghumarwin-to-chandigarh,Ghumarwin to Chandigarh
HRTC - 750,A/C Executive (2+3),20:30,0:25,03h 55m,INR 270,44 Seats available,3.9,https://www.redbus.in/bus-tickets/ghumarwin-to-chandigarh,Ghumarwin to Chandigarh
HRTC - 401269,Ordinary 3+2 Non AC Seater,6:30,10:30,04h 00m,INR 310,36 Seats available,"4.6
8",https://www.redbus.in/bus-tickets/hamirpur-himachal-pradesh-to-chandigarh,Hamirpur (Himachal Pradesh) to Chandigarh
HRTC - 401669,Ordinary 3+2 Non AC Seater,10:35,14:40,04h 05m,INR 310,33 Seats available,"4.5
10",https://www.redbus.in/bus-tickets/chandigarh-to-hamirpur-himachal-pradesh,Chandigarh to Hamirpur (Himachal Pradesh)
HRTC - 9236,A/C Executive (2+3),12:05,16:10,04h 05m,INR 340,27 Seats available,"4.5
158",https://www.redbus.in/bus-tickets/chandigarh-to-hamirpur-himachal-pradesh,Chandigarh to Hamirpur (Himachal Pradesh)
HRTC - 141,Ordinary 3+2 Non AC Seater,7:25,11:30,04h 05m,INR 242,37 Seats available,3.9,https://www.redbus.in/bus-tickets/shimla-to-chandigarh,Shimla to Chandigarh
HRTC - 101,Ordinary 3+2 Non AC Seater,6:12,10:20,04h 08m,INR 242,37 Seats available,"4.7
11",https://www.redbus.in/bus-tickets/shimla-to-chandigarh,Shimla to Chandigarh
HRTC - 140,Ordinary 3+2 Non AC Seater,6:40,10:50,04h 10m,INR 242,23 Seats available,"2.9
4",https://www.redbus.in/bus-tickets/shimla-to-chandigarh,Shimla to Chandigarh
Laxmi holidays,VE A/C Semi Sleeper (2+2),19:35,23:55,04h 20m,854,27 Seats available,"4.1
50",https://www.redbus.in/bus-tickets/kangra-to-chandigarh,Kangra to Chandigarh
HRTC - 401260,Ordinary 3+2 Non AC Seater,14:30,19:00,04h 30m,INR 240,37 Seats available,3.9,https://www.redbus.in/bus-tickets/ghumarwin-to-chandigarh,Ghumarwin to Chandigarh
HRTC - 2030250,Ordinary 3+2 Non AC Seater,16:30,21:38,05h 08m,INR 467,37 Seats available,3.9,https://www.redbus.in/bus-tickets/chandigarh-to-kullu,Chandigarh to Kullu
HRTC - 1529,Ordinary 3+2 Non AC Seater,13:56,19:05,05h 09m,INR 364,37 Seats available,"3.2
8",https://www.redbus.in/bus-tickets/chandigarh-to-hamirpur-himachal-pradesh,Chandigarh to Hamirpur (Himachal Pradesh)
NueGo,Electric A/C Seater (2+2),6:00,11:15,05h 15m,356,13 Seats available,"4.2
295",https://www.redbus.in/bus-tickets/delhi-to-chandigarh,Delhi to Chandigarh
Laxmi holidays,Volvo 9600 A/C Semi Sleeper (2+2),22:50,4:15,05h 25m,664,27 Seats available,"4.8
66",https://www.redbus.in/bus-tickets/chandigarh-to-kullu,Chandigarh to Kullu
RSRTC - 183801,Express Non AC Seater 2+3,15:30,21:00,05h 30m,INR 320,42 Seats available,3.6,https://www.redbus.in/bus-tickets/delhi-to-chandigarh,Delhi to Chandigarh
GK Travels,A/C Seater/Sleeper (2+1),4:30,10:00,05h 30m,INR 999,15 Seats available,3.6,https://www.redbus.in/bus-tickets/delhi-to-chandigarh,Delhi to Chandigarh
HRTC - 1526,Ordinary 3+2 Non AC Seater,15:30,21:00,05h 30m,INR 390,27 Seats available,3.9,https://www.redbus.in/bus-tickets/chandigarh-to-kangra,Chandigarh to Kangra
HRTC - 1231,Ordinary 3+2 Non AC Seater,22:40,4:22,05h 42m,INR 501,37 Seats available,3.9,https://www.redbus.in/bus-tickets/chandigarh-to-kullu,Chandigarh to Kullu
Laxmi holidays,Volvo 9600 A/C Semi Sleeper (2+2),19:10,1:00,05h 50m,569,27 Seats available,"4.7
39",https://www.redbus.in/bus-tickets/kangra-to-chandigarh,Kangra to Chandigarh
HRTC - 1137,Ordinary 3+2 Non AC Seater,14:25,20:15,05h 50m,INR 390,37 Seats available,3.9,https://www.redbus.in/bus-tickets/chandigarh-to-kangra,Chandigarh to Kangra
Zingbus Plus,Volvo A/C Semi Sleeper (2+2),4:40,10:30,05h 50m,846,2 Seats available,"4.8
11",https://www.redbus.in/bus-tickets/chandigarh-to-kullu,Chandigarh to Kullu
Northern Travels,Volvo A/C Semi Sleeper (2+2),18:45,1:00,06h 15m,807,20 Seats available,"3.4
16",https://www.redbus.in/bus-tickets/palampur-to-chandigarh,Palampur to Chandigarh
HRTC - 127,Himsuta AC Seater Volvo/Scania 2+2,15:40,22:00,06h 20m,INR 784,34 Seats available,"3.9
20",https://www.redbus.in/bus-tickets/chandigarh-to-dharamshala,Chandigarh to Dharamshala (Himachal Pradesh)
HRTC - 573,Ordinary 3+2 Non AC Seater,19:40,2:00,06h 20m,INR 459,37 Seats available,"3.1
4",https://www.redbus.in/bus-tickets/chandigarh-to-dharamshala,Chandigarh to Dharamshala (Himachal Pradesh)
HRTC - 91,Himsuta AC Seater Volvo/Scania 2+2,22:10,4:40,06h 30m,INR 784,34 Seats available,"4.4
18",https://www.redbus.in/bus-tickets/chandigarh-to-dharamshala,Chandigarh to Dharamshala (Himachal Pradesh)
FlixBus,Volvo A/C Seater (2+2),18:40,1:10,06h 30m,INR 461.12,18 Seats available,4.1,https://www.redbus.in/bus-tickets/kangra-to-chandigarh,Kangra to Chandigarh
HRTC - 923,Ordinary 3+2 Non AC Seater,7:00,13:35,06h 35m,INR 430,37 Seats available,"4.2
8",https://www.redbus.in/bus-tickets/dharamshala-to-chandigarh,Dharamshala (Himachal Pradesh) to Chandigarh
HRTC - 652,Ordinary 3+2 Non AC Seater,6:20,13:00,06h 40m,INR 373,27 Seats available,3.9,https://www.redbus.in/bus-tickets/hamirpur-himachal-pradesh-to-chandigarh,Hamirpur (Himachal Pradesh) to Chandigarh
Ram Dalal Holidays,Volvo A/C Semi Sleeper (2+2),18:40,1:20,06h 40m,590,24 Seats available,"4.6
17",https://www.redbus.in/bus-tickets/palampur-to-chandigarh,Palampur to Chandigarh
